cf_model,cf_weight,content_weight,model,k,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k,catalog_coverage_at_k,evaluated_users
baseline,0.7,0.3,hybrid_baseline_content,10,0.10899999999999999,0.09389360068036538,0.7,0.11330472869619382,0.95,100
baseline,0.8,0.2,hybrid_baseline_content,10,0.10899999999999999,0.09414396143072612,0.69,0.11325752145322374,0.95,100
knn,0.1,0.9,hybrid_knn_content,10,0.10899999999999999,0.09469417918682625,0.66,0.11320349783338733,0.925,100
svd,0.6,0.4,hybrid_svd_content,10,0.10800000000000001,0.09378248956925427,0.7,0.11076773235643579,0.925,100
svd,0.4,0.6,hybrid_svd_content,10,0.10799999999999998,0.09452791081467553,0.68,0.11223755105426997,0.925,100
baseline,0.4,0.6,hybrid_baseline_content,10,0.107,0.09277123693300164,0.67,0.11178535379921488,0.925,100
svd,0.2,0.8,hybrid_svd_content,10,0.107,0.0937650348017995,0.67,0.11175871849913593,0.925,100
baseline,0.6,0.4,hybrid_baseline_content,10,0.107,0.0927226050093697,0.67,0.11140627331455065,0.925,100
svd,0.9,0.1,hybrid_svd_content,10,0.107,0.09265316056492527,0.69,0.11038282464781389,0.925,100
baseline,0.9,0.1,hybrid_baseline_content,10,0.107,0.09274316777993247,0.67,0.10890730926624481,0.925,100
svd,1.0,0.0,hybrid_svd_content,10,0.10600000000000001,0.09207776373952843,0.69,0.10902342566069867,0.925,100
baseline,0.5,0.5,hybrid_baseline_content,10,0.106,0.09172422838599309,0.66,0.11076670508308999,0.925,100
baseline,1.0,0.0,hybrid_baseline_content,10,0.106,0.09223090226766695,0.69,0.11027473202437149,0.925,100
baseline,0.3,0.7,hybrid_baseline_content,10,0.10599999999999998,0.0920361386979034,0.66,0.10884884641966072,0.925,100
