model,k,precision_at_k,recall_at_k,hit_rate_at_k,ndcg_at_k,catalog_coverage_at_k,evaluated_users
tuned_surprise_svd,5,0.13,0.05564395734983971,0.5,0.1211110711820101,0.625,100
tuned_surprise_knn,5,0.12399999999999999,0.05318965185141655,0.47,0.13214590199444193,0.95,100
baseline_user_based_cf,5,0.12399999999999999,0.05353803549391785,0.48,0.11953956599297458,0.575,100
tuned_surprise_knn,10,0.117,0.10160272897037605,0.69,0.12750553603191628,0.95,100
tuned_surprise_svd,10,0.10600000000000001,0.09207776373952843,0.69,0.10902342566069867,0.925,100
baseline_user_based_cf,10,0.106,0.09223090226766695,0.69,0.11027473202437149,0.925,100
